오름명,행정시,소재지,위도,경도,비고,표고,면적,형태,데이터기준일자,주차장,화장실
가마오름,제주시,제주특별자치도 제주시 한경면 청수리 1202,33.3056476,126.2476718,51,140.5,154486,말굽형(북동향),#######,,
가메오름,제주시,제주특별자치도 제주시 애월읍 봉성리 산124,33.3689588,126.3505941,17,372.2,28371,복합형,#######,,
가메옥,제주시,제주특별자치도 제주시 구좌읍 송당리 1712,33.4697143,126.7670928,28,368,22764,복합형,#######,,
가메창,제주시,제주특별자치도 제주시 한경면 저지리 1496,33.3303127,126.2537991,6,145.8,17037,원형,#######,,
가문이오름,서귀포시,제주특별자치도 서귀포시 표선면 가시리 산158-2,33.3988071,126.7063341,106,496.2,116176,말굽형(남서향),#######,,
가새기오름,제주시,제주특별자치도 제주시 오라동 산2838,33.4951531,126.5116727,20,115,17198,원추형,#######,,
가세오름,서귀포시,제주특별자치도 서귀포시 표선면 토산리 산2,33.3314602,126.7815087,101,200.5,373099,말굽형(서향),#######,N,N
가시오름,서귀포시,제주특별자치도 서귀포시 대정읍 동일리 1209,33.2458617,126.2555761,77,106.5,263863,말굽형(남서향),#######,N,N
각시바위,서귀포시,제주특별자치도 서귀포시 호근동 2112,33.2767541,126.5270288,140,395,585988,원추형,#######,,
감낭오름,서귀포시,제주특별자치도 서귀포시 안덕면 동광리 산41,33.3226391,126.3456997,45,439.8,117413,말굽형(북동향),#######,,
감은이오름,제주시,제주특별자치도 제주시 구좌읍 송당리 산 297,33.4242921,126.7397332,37,317.2,144548,원형,#######,,
갑선이오름,서귀포시,제주특별자치도 서귀포시 표선면 가시리 산 2,33.3988071,126.7063341,83,188.2,252799,말굽형(서남향),#######,N,N
개오름,서귀포시,제주특별자치도 서귀포시 표선면 성읍리 2974,33.4239746,126.7687182,130,344.7,338028,원추형,#######,N,N
개오리오름,제주시,제주특별자치도 제주시 봉개동 산78-1,33.4393726,126.6284479,117,743,640913,복합형,#######,,
갯거리오름,서귀포시,제주특별자치도 서귀포시 대포동 산1-8,33.3116678,126.4587607,38,708.4,64003,원추형,#######,,
갯거리오름,제주시,제주특별자치도 제주시 한림읍 명월리 15,33.3760389,126.2924867,69,253.5,123623,말굽형(서향),#######,,
거린(족은)오름,서귀포시,제주특별자치도 서귀포시 남원읍 한남리 산2-1,33.3352599,126.6681117,123,493.2,315285,말굽형(남동향),#######,,
거린(큰)오름,서귀포시,제주특별자치도 서귀포시 남원읍 한남리 산2-1,33.3352599,126.6681117,153,532.7,369143,말굽형(북서향),#######,,
거린사슴,서귀포시,제주특별자치도 서귀포시 대포동 산 2-1,33.3073168,126.4548441,103,742.9,286247,말굽형(서향),#######,Y,Y
거린오름,서귀포시,제주특별자치도 서귀포시 안덕면 동광리 산94,33.302389,126.3319337,68,298.2,247021,원추형,#######,,
거문오름,제주시,제주특별자치도 제주시 조천읍 선흘리 산102-1,33.4536212,126.7191236,112,456.6,809860,복합형,#######,,
거미오름,제주시,제주특별자치도 제주시 구좌읍 종달리 산70,33.4880673,126.8804954,115,340,466283,복합형,#######,,
거슨세미,제주시,제주특별자치도 제주시 구좌읍 송당리 산145,33.4505745,126.759182,125,380,661438,말굽형(서향),#######,,
거친오름,제주시,제주특별자치도 제주시 구좌읍 송당리 산84-2,33.4596346,126.7417283,70,354.6,197468,복합형,#######,,
거친오름,제주시,제주특별자치도 제주시 봉개동 산66,33.4454874,126.6194522,154,618.5,493952,말굽형(북향),#######,,
걸리오름,서귀포시,제주특별자치도 서귀포시 성산읍 신풍리 1575,33.3769287,126.8143234,14,123.8,11449,원추형,#######,,
걸서악(동걸세),서귀포시,제주특별자치도 서귀포시 남원읍 하례리 산124,33.3420367,126.5884214,48,158,58199,원추형,#######,,
걸서악(서걸세),서귀포시,제주특별자치도 서귀포시 남원읍 하례리 산124,33.3420367,126.5884214,50,150,69970,원추형,#######,,
걸시오름,제주시,제주특별자치도 제주시 연동 산150,33.4113296,126.5054579,82,732.4,277449,말굽형(북향),#######,,
검은덕이,제주시,제주특별자치도 제주시 애월읍 소길리 산118,33.4185267,126.3862922,52,401.5,57156,원추형,#######,,
검은들먹오름,제주시,제주특별자치도 제주시 애월읍 어도리 산1,33.3583057,126.3854375,87,712.4,120797,말굽형(북향),#######,,
검은오름,제주시,제주특별자치도 제주시 연동 산110,33.4449309,126.5001327,129,438.8,702094,말굽형(북향),#######,,
고근산,서귀포시,제주특별자치도 서귀포시 서호동 1286-1,33.2663637,126.5123088,171,396.2,1204428,원형,#######,Y,Y
고내봉,제주시,제주특별자치도 제주시 애월읍 고내리 산3-1,33.460022,126.3406402,135,175.3,739484,복합형,#######,,
고냉이슬,제주시,제주특별자치도 제주시 봉개동 165,33.476344,126.6166833,69,304.5,1136315,원형,#######,,
고이악,서귀포시,제주특별자치도 서귀포시 남원읍 한남리 산16,33.3352599,126.6681117,52,302,90743,말굽형(북서향),#######,,
골머리,제주시,제주특별자치도 제주시 노형동 산20,33.4048478,126.5028106,95,848.4,54036,원추형,#######,,
골체오름,제주시,제주특별자치도 제주시 조천읍 선흘리 1912,33.4504845,126.7052371,30,395.3,25726,말굽형(남서향),#######,,
과오름,제주시,제주특별자치도 제주시 애월읍 곽지리 산4,33.4459284,126.3238311,85,155,267254,말굽형(북서향),#######,,
광이오름,제주시,제주특별자치도 제주시 연동 산62,33.4676118,126.49545,77,266.8,236701,말굽형(남동향),#######,,
괭이모루,제주시,제주특별자치도 제주시 구좌읍 송당리 산198,33.4635111,126.7793824,33,253.2,89301,말굽형(동북향),#######,,
괴수치,서귀포시,제주특별자치도 서귀포시 안덕면 광평리 산79,33.340233,126.374785,59,558.7,99640,원형,#######,N,N
괴오름,제주시,제주특별자치도 제주시 애월읍 봉성리 산41,33.3689588,126.3505941,103,653.3,379587,말굽형(북향),#######,,
구그네오름,제주시,제주특별자치도 제주시 조천읍 와흘리 957,33.4906364,126.6385403,47,237.4,38935,원추형,#######,,
구두리오름,서귀포시,제주특별자치도 서귀포시 표선면 가시리 산158-2,33.3988071,126.7063341,117,517,451437,말굽형(동향),#######,,
구산봉,서귀포시,제주특별자치도 서귀포시 하원동 1180-2,33.2600699,126.4536654,69,174.2,186940,말굽형(동남향),#######,,
군산,서귀포시,제주특별자치도 서귀포시 안덕면 창천리 564,33.2551426,126.3683605,280,334.5,2836857,원추형(라바돔),#######,Y,N
굽은오름,제주시,제주특별자치도 제주시 한경면 조수2리 3666,33.3501173,126.184217,26,96,296443,복합형,#######,,
궁대악,서귀포시,제주특별자치도 서귀포시 성산읍 수산리 4711,33.4349078,126.8170896,54,238.8,209701,복합형,#######,N,N
궁산,서귀포시,제주특별자치도 서귀포시 강정동 3712,33.2650338,126.4815835,37,187,73912,말굽형(북향),#######,,
권제오름,제주시,제주특별자치도 제주시 아라일동 350,33.4574322,126.5581964,28,297.7,43039,원추형,#######,,
궤펜이,제주시,제주특별자치도 제주시 조천읍 교래리 산137-1,33.4276176,126.6665803,167,792.1,529149,원형,#######,,
궷물오름,제주시,제주특별자치도 제주시 애월읍 금덕리 산136-1,33.4619478,126.3295244,57,597.2,138366,말굽형(북동향),#######,,
극락오름,제주시,제주특별자치도 제주시 애월읍 고성리 산3,33.436435,126.4142994,64,313.5,131583,말굽형(북서향),#######,,
금산,서귀포시,제주특별자치도 서귀포시 안덕면 사계리 3152-2,33.2361528,126.2858552,34,63.5,67769,원추형,#######,N,N
금오름,제주시,제주특별자치도 제주시 한림읍 금악리 산1-1,33.355577,126.3056877,178,427.5,613966,원형(화구호),#######,Y,N
까그래기,제주시,제주특별자치도 제주시 조천읍 교래리 128,33.4276176,126.6665803,49,429,132944,원형,#######,,
꾀꼬리오름,제주시,제주특별자치도 제주시 조천읍 대흘리 산33,33.4635865,126.6784027,58,428.3,110674,말굽형(북서향),#######,,
나시리오름,서귀포시,제주특별자치도 서귀포시 성산읍 난산리 2683,33.4145318,126.8357472,29,164,51624,말굽형(북향),#######,,
남산봉,서귀포시,제주특별자치도 서귀포시 성산읍 신풍리 1675-21,33.3860915,126.8081632,54,178.8,185332,원형,#######,N,N
남송이오름,서귀포시,제주특별자치도 서귀포시 안덕면 서광리 산33,33.3050158,126.3046682,139,339,366531,복합형,#######,Y,N
남짓은오름,제주시,제주특별자치도 제주시 연동 산25,33.4736946,126.496639,167,296.7,637805,말굽형(북서향),#######,,
낭끼오름,서귀포시,제주특별자치도 서귀포시 성산읍 수산리 3954,33.4355716,126.842924,40,185.1,82601,원형,#######,N,N
넉시악,서귀포시,제주특별자치도 서귀포시 남원읍 의귀리 531-1,33.3244253,126.7317431,56,146.2,128854,말굽형(서북향),#######,,
넙거리,서귀포시,제주특별자치도 서귀포시 남원읍 한남리 산2-1,33.3352599,126.6681117,102,436.6,269857,원형,#######,,
넙거리,제주시,제주특별자치도 제주시 조천읍 교래리 산137-1,33.4276176,126.6665803,100,810,488263,말굽형(서향),#######,,
넙게오름,서귀포시,제주특별자치도 서귀포시 안덕면 서광리 943,33.2871076,126.3162332,62,246.5,260296,말굽형(서북향),#######,N,N
노꼬메족은오름,제주시,제주특별자치도 제주시 애월읍 유수암리 산138,33.3923111,126.4152399,124,774.4,601440,말굽형(북서향),#######,Y,Y
노꼬메큰오름,제주시,제주특별자치도 제주시 애월읍 유수암리 산138,33.3923111,126.4152399,234,833.8,923692,말굽형(북서향),#######,Y,Y
노로오름,제주시,제주특별자치도 제주시 애월읍 유수암리 산139,33.3809794,126.4304925,105,1070,475274,복합형,#######,,
노리손이,제주시,제주특별자치도 제주시 연동 산137,33.4270999,126.49896,136,616.2,222294,말굽형(북향),#######,,
